File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, PM10 // PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités,µg/m3 // µg/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160405,24,21,13,10,17,29,53,71,70,62,55,54,41,14,11,9,7,8,6,6,6,5,5,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160406,5,3,4,3,3,3,5,5,4,4,5,6,7,8,15,22,19,17,7,6,6,4,4,5
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160407,5,4,5,6,5,6,5,5,4,4,2,5,12,16,28,35,37,12,3,1,6,7,11,11
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160408,14,7,9,9,7,13,27,42,36,47,37,34,29,33,32,32,31,20,18,15,27,17,21,23
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160409,20,16,7,8,8,14,16,23,45,70,46,36,72,88,65,47,50,30,27,39,23,18,22,14
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160410,20,23,9,21,24,25,19,17,15,15,13,12,11,9,8,8,2,5,3,7,9,20,14,15
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160411,7,5,6,7,7,7,12,20,19,22,22,22,19,17,20,24,21,16,16,17,21,20,17,12
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160412,9,9,9,11,12,23,51,50,37,32,36,51,45,45,37,56,60,40,30,29,30,21,16,20
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160413,18,18,17,21,23,37,50,52,42,37,39,46,36,35,45,65,51,42,38,47,35,35,24,19
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160414,15,21,21,21,25,21,26,27,25,39,44,48,38,24,30,40,68,41,27,50,43,39,25,13
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160415,17,16,9,10,8,8,12,14,19,30,39,37,17,10,14,10,0,0,1,2,2,2,2,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160416,2,3,3,4,5,4,4,3,2,3,4,4,4,3,4,4,3,5,0,1,4,3,3,1
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160417,1,2,2,2,3,4,2,2,2,3,3,3,3,1,3,5,4,4,4,4,3,3,4,4
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160418,3,2,3,3,4,7,16,13,11,12,17,24,31,44,51,71,46,21,29,31,28,33,21,15
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160419,20,21,15,17,10,22,46,63,66,54,48,55,52,50,56,70,66,44,25,15,16,12,9,9
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160420,9,8,7,7,5,4,6,7,7,6,14,29,27,31,45,64,36,29,27,51,34,6,-999,28
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160421,23,5,5,4,3,8,13,23,20,18,21,18,15,16,17,17,15,12,13,9,16,13,18,14
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160422,9,7,7,8,11,20,37,44,41,30,21,20,11,10,17,31,17,24,34,21,4,6,14,3
PM10,70119,Winnipeg,MB,49.89799,-97.14653,20160423,7,6,7,6,6,11,18,13,12,14,27,22,15,15,21,20,14,13,14,40,17,10,10,13
